"year","avrg_oni","type_of_year","total_disaster_count","total_damage_cost","total_deaths"
"1980","0.3","neutral","3","36666.3","1280"
"1981","-0.3","neutral","2","2823.0","20"
"1982","1.0","el Nino","5","12444.9","243"
"1983","0.5","el Nino","3","20562.4","172"
"1984","-0.5","la Nina","2","2591.7","81"
"1985","-0.6","la Nina","5","13592.6","228"
"1986","0.2","neutral","2","5366.7","113"
"1987","1.3","el Nino","0","",""
"1988","-0.8","la Nina","1","43608.7","454"
"1989","-0.6","la Nina","5","31687.4","217"
"1990","0.3","neutral","3","10349.3","13"
"1991","0.6","el Nino","4","15813.3","43"
"1992","0.6","el Nino","7","65416.7","113"
"1993","0.3","neutral","4","51537.7","338"
"1994","0.5","el Nino","6","13323.2","133"
"1995","-0.2","neutral","5","26250.7","105"
"1996","-0.5","la Nina","4","17620.2","233"
"1997","1.2","el Nino","4","13707.4","246"
"1998","-0.1","neutral","9","29337.8","289"
"1999","-1.2","la Nina","5","19763.2","659"
"2000","-0.8","la Nina","3","10388.6","143"
"2001","-0.3","neutral","2","16728.3","46"
"2002","0.6","el Nino","4","19196.1","30"
"2003","0.3","neutral","7","31096.6","180"
"2004","0.5","el Nino","5","74542.2","172"
"2005","0.0","neutral","6","220894.0","2002"
"2006","0.1","neutral","7","19343.2","96"
"2007","-0.6","la Nina","5","15290.1","37"
"2008","-0.8","la Nina","11","75580.7","303"
"2009","0.3","neutral","7","13857.3","26"
"2010","-0.5","la Nina","6","15188.5","48"
"2011","-0.8","la Nina","16","77403.8","764"
"2012","-0.1","neutral","11","128625.7","377"
"2013","-0.3","neutral","9","24875.9","113"
"2014","0.1","neutral","8","18756.9","53"
"2015","1.5","el Nino","10","23954.9","155"
"2016","0.4","neutral","15","49107.2","138"
"2017","-0.2","neutral","16","312558.9","3278"
"2018","-0.2","neutral","11","38992.3","105"
