"year","avrg_oni","type_of_year","total_disaster_count","drought_count","flooding_count","freeze_count","severe_storm_count","tropical_cyclone_count","wildfire_count","winter_storm_count"
"1980","0.3","neutral","3","1","1","0","0","1","0","0"
"1981","-0.3","neutral","2","0","0","1","1","0","0","0"
"1982","1.0","el Nino","5","0","2","0","2","0","0","1"
"1983","0.5","el Nino","3","1","0","1","0","1","0","0"
"1984","-0.5","la Nina","2","0","0","0","2","0","0","0"
"1985","-0.6","la Nina","5","0","0","1","0","3","0","1"
"1986","0.2","neutral","2","1","0","0","1","0","0","0"
"1987","1.3","el Nino","0","0","0","0","0","0","0","0"
"1988","-0.8","la Nina","1","1","0","0","0","0","0","0"
"1989","-0.6","la Nina","5","1","0","1","1","1","0","1"
"1990","0.3","neutral","3","0","1","1","1","0","0","0"
"1991","0.6","el Nino","4","1","0","0","1","1","1","0"
"1992","0.6","el Nino","7","0","0","0","4","2","0","1"
"1993","0.3","neutral","4","1","1","0","0","0","1","1"
"1994","0.5","el Nino","6","0","1","0","1","1","1","2"
"1995","-0.2","neutral","5","0","1","0","1","3","0","0"
"1996","-0.5","la Nina","4","1","1","0","0","1","0","1"
"1997","1.2","el Nino","4","0","2","0","2","0","0","0"
"1998","-0.1","neutral","9","1","1","1","2","3","0","1"
"1999","-1.2","la Nina","5","1","0","0","1","1","0","2"
"2000","-0.8","la Nina","3","1","1","0","0","0","1","0"
"2001","-0.3","neutral","2","0","0","0","1","1","0","0"
"2002","0.6","el Nino","4","1","0","0","1","1","1","0"
"2003","0.3","neutral","7","1","0","0","4","1","1","0"
"2004","0.5","el Nino","5","0","0","0","1","4","0","0"
"2005","0.0","neutral","6","1","0","0","1","4","0","0"
"2006","0.1","neutral","7","1","1","0","4","0","1","0"
"2007","-0.6","la Nina","5","1","0","2","1","0","1","0"
"2008","-0.8","la Nina","11","1","1","0","5","3","1","0"
"2009","0.3","neutral","7","1","0","0","5","0","1","0"
"2010","-0.5","la Nina","6","0","2","0","4","0","0","0"
"2011","-0.8","la Nina","16","1","2","0","9","2","1","1"
"2012","-0.1","neutral","11","1","0","0","7","2","1","0"
"2013","-0.3","neutral","9","1","2","0","6","0","0","0"
"2014","0.1","neutral","8","1","1","0","5","0","0","1"
"2015","1.5","el Nino","10","1","2","0","5","0","1","1"
"2016","0.4","neutral","15","1","4","0","8","1","1","0"
"2017","-0.2","neutral","16","1","2","1","8","3","1","0"
"2018","-0.2","neutral","11","1","0","0","6","1","1","2"
