"year","month","oni","month_type","number_of_fire","acres_burned_per_fire"
"2000","1","-1.7","la Nina",2796,"14.6"
"2000","2","-1.4","la Nina",5671,"29.7"
"2000","3","-1.1","la Nina",10312,"33.1"
"2000","4","-0.8","la Nina",9236,"19.8"
"2000","5","-0.7","la Nina",11850,"24.9"
"2000","6","-0.6","la Nina",9135,"66.4"
"2000","7","-0.6","la Nina",11293,"164.3"
"2000","8","-0.5","la Nina",11217,"224.1"
"2000","9","-0.5","la Nina",8648,"98.3"
"2000","10","-0.6","la Nina",7651,"25.6"
"2000","11","-0.7","la Nina",3285,"79.7"
"2000","12","-0.7","la Nina",1156,"72.3"
"2001","1","-0.7","la Nina",1231,"36"
"2001","2","-0.5","la Nina",6561,"18.1"
"2001","3","-0.4","neutral",6620,"15.6"
"2001","4","-0.3","neutral",995,"203"
"2001","5","-0.3","neutral",18469,"14"
"2001","6","-0.1","neutral",6961,"52.8"
"2001","7","-0.1","neutral",8254,"47"
"2001","8","-0.1","neutral",7579,"179.2"
"2001","9","-0.2","neutral",6397,"59.5"
"2001","10","-0.3","neutral",6223,"5.4"
"2001","11","-0.3","neutral",10223,"9.8"
"2001","12","-0.3","neutral",4566,"47.3"
"2002","1","-0.1","neutral",1383,"7.3"
"2002","2","0","neutral",4649,"11.9"
"2002","3","0.1","neutral",8686,"15.6"
"2002","4","0.2","neutral",7365,"24.2"
"2002","5","0.4","neutral",8734,"84.3"
"2002","6","0.7","el Nino",13942,"122.1"
"2002","7","0.8","el Nino",7348,"149.5"
"2002","8","0.9","el Nino",9983,"239"
"2002","9","1","el Nino",5175,"53.5"
"2002","10","1.2","el Nino",2009,"64"
"2002","11","1.3","el Nino",2068,"198.4"
"2002","12","1.1","el Nino",2115,"31.6"
"2003","1","0.9","el Nino",1964,"9.6"
"2003","2","0.6","el Nino",2030,"15.2"
"2003","3","0.4","neutral",3401,"13"
"2003","4","0","neutral",7066,"32"
"2003","5","-0.3","neutral",7081,"12.2"
"2003","6","-0.2","neutral",5744,"62.9"
"2003","7","0.1","neutral",7129,"136.1"
"2003","8","0.2","neutral",10145,"90.6"
"2003","9","0.3","neutral",4620,"110.5"
"2003","10","0.3","neutral",6353,"26.8"
"2003","11","0.4","neutral",2104,"227.5"
"2003","12","0.4","neutral",5992,"24.2"
"2004","1","0.4","neutral",1740,"8.8"
"2004","2","0.3","neutral",2847,"14"
"2004","3","0.2","neutral",9071,"10.5"
"2004","4","0.2","neutral",10735,"20.4"
"2004","5","0.2","neutral",7675,"21"
"2004","6","0.3","neutral",6554,"174.3"
"2004","7","0.5","el Nino",6628,"518.9"
"2004","8","0.6","el Nino",9575,"211.3"
"2004","9","0.7","el Nino",6109,"98.5"
"2004","10","0.7","el Nino",1918,"158.9"
"2004","11","0.7","el Nino",1368,"15.8"
"2004","12","0.7","el Nino",1241,"27.3"
"2005","1","0.6","el Nino",1674,"5.8"
"2005","2","0.6","el Nino",2518,"7.3"
"2005","3","0.4","neutral",5061,"20.3"
"2005","4","0.4","neutral",9010,"15.1"
"2005","5","0.3","neutral",6795,"15.8"
"2005","6","0.1","neutral",4684,"284.2"
"2005","7","-0.1","neutral",7464,"350.1"
"2005","8","-0.1","neutral",8276,"372"
