Year,January,February,March,April,May,June,July,August,September,October,November,December
1/1/80,0.6,0.5,0.3,0.4,0.5,0.5,0.3,0,-0.1,0,0.1,0
1/1/81,-0.3,-0.5,-0.5,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1
1/1/82,0,0.1,0.2,0.5,0.7,0.7,0.8,1.1,1.6,2,2.2,2.2
1/1/83,2.2,1.9,1.5,1.3,1.1,0.7,0.3,-0.1,-0.5,-0.8,-1,-0.9
1/1/84,-0.6,-0.4,-0.3,-0.4,-0.5,-0.4,-0.3,-0.2,-0.2,-0.6,-0.9,-1.1
1/1/85,-1,-0.8,-0.8,-0.8,-0.8,-0.6,-0.5,-0.5,-0.4,-0.3,-0.3,-0.4
1/1/86,-0.5,-0.5,-0.3,-0.2,-0.1,0,0.2,0.4,0.7,0.9,1.1,1.2
1/1/87,1.2,1.2,1.1,0.9,1,1.2,1.5,1.7,1.6,1.5,1.3,1.1
1/1/88,0.8,0.5,0.1,-0.3,-0.9,-1.3,-1.3,-1.1,-1.2,-1.5,-1.8,-1.8
1/1/89,-1.7,-1.4,-1.1,-0.8,-0.6,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1
1/1/90,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4
1/1/91,0.4,0.3,0.2,0.3,0.5,0.6,0.7,0.6,0.6,0.8,1.2,1.5
1/1/92,1.7,1.6,1.5,1.3,1.1,0.7,0.4,0.1,-0.1,-0.2,-0.3,-0.1
1/1/93,0.1,0.3,0.5,0.7,0.7,0.6,0.3,0.3,0.2,0.1,0,0.1
1/1/94,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.6,0.7,1,1.1
1/1/95,1,0.7,0.5,0.3,0.1,0,-0.2,-0.5,-0.8,-1,-1,-1
1/1/96,-0.9,-0.8,-0.6,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.5
1/1/97,-0.5,-0.4,-0.1,0.3,0.8,1.2,1.6,1.9,2.1,2.3,2.4,2.4
1/1/98,2.2,1.9,1.4,1,0.5,-0.1,-0.8,-1.1,-1.3,-1.4,-1.5,-1.6
1/1/99,-1.5,-1.3,-1.1,-1,-1,-1,-1.1,-1.1,-1.2,-1.3,-1.5,-1.7
1/1/00,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
1/1/01,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
1/1/02,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
1/1/03,0.9,0.6,0.4,0,-0.3,-0.2,0.1,0.2,0.3,0.3,0.4,0.4
1/1/04,0.4,0.3,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.7
1/1/05,0.6,0.6,0.4,0.4,0.3,0.1,-0.1,-0.1,-0.1,-0.3,-0.6,-0.8
1/1/06,-0.8,-0.7,-0.5,-0.3,0,0,0.1,0.3,0.5,0.7,0.9,0.9
1/1/07,0.7,0.3,0,-0.2,-0.3,-0.4,-0.5,-0.8,-1.1,-1.4,-1.5,-1.6
1/1/08,-1.6,-1.4,-1.2,-0.9,-0.8,-0.5,-0.4,-0.3,-0.3,-0.4,-0.6,-0.7
1/1/09,-0.8,-0.7,-0.5,-0.2,0.1,0.4,0.5,0.5,0.7,1,1.3,1.6
1/1/10,1.5,1.3,0.9,0.4,-0.1,-0.6,-1,-1.4,-1.6,-1.7,-1.7,-1.6
1/1/11,-1.4,-1.1,-0.8,-0.6,-0.5,-0.4,-0.5,-0.7,-0.9,-1.1,-1.1,-1
1/1/12,-0.8,-0.6,-0.5,-0.4,-0.2,0.1,0.3,0.3,0.3,0.2,0,-0.2
1/1/13,-0.4,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.3,-0.2,-0.2,-0.3
1/1/14,-0.4,-0.4,-0.2,0.1,0.3,0.2,0.1,0,0.2,0.4,0.6,0.7
1/1/15,0.6,0.6,0.6,0.8,1,1.2,1.5,1.8,2.1,2.4,2.5,2.6
1/1/16,2.5,2.2,1.7,1,0.5,0,-0.3,-0.6,-0.7,-0.7,-0.7,-0.6
1/1/17,-0.3,-0.1,0.1,0.3,0.4,0.4,0.2,-0.1,-0.4,-0.7,-0.9,-1
1/1/18,-0.9,-0.8,-0.6,-0.4,-0.1,0.1,0.1,0.2,0.4,,,
