Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95
1/1/80,1,32.5,25.9,38.9,24,40.8,23,41.8,1,2.3,1.3,2.6,1.3,3.2,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,0,2.6,1.3,3.2,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,1.5,1.7,1.2,2,0.9,2.3,1,1.2,0.9,1.2,0.6,1.5,0.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6,2.2,2.6,1.6,2.6,1.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,1.3,1.9,1.1,2.1,0,2.7
1/1/83,1,7.6,8,11.4,7.5,12.4,7,12.9,2,8.1,7.2,9.8,6.6,10.4,6.4,10.7,1,5.2,4.1,6.2,4.1,6.5,3.9,6.5,0,0,0,0,0,0,0,0,1,7.7,5.4,7.7,4.9,8,4.6,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6,2.5,1.2,1.9,2.7,1.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,2.4,3.1,2.2,3.3,1.9,3.6,0,0,0,0,0,0,0,0,3,8.7,5.7,8.6,5.5,9.1,5.1,9.5,0,0,0,0,0,0,0,0,1,2,2.2,2.2,1.9,2.4,1.9,2.4
1/1/86,1,4.1,4.6,6,4.4,6.4,4.1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0.9,1.2,0.9,1.4,0.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/88,1,43.6,33.1,53,30.7,55.4,29.6,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/89,1,6.2,6.4,8.3,6.2,8.7,6,8.9,0,0,0,0,0,0,0,0,1,4.2,3.1,5.2,3.1,5.2,2.9,5.4,1,1.1,1,1.2,1,1.2,0.8,1.5,1,18.7,16.8,19.6,16.2,20.2,16,20.6,0,0,0,0,0,0,0,0,1,1.4,1.2,1.7,1.2,1.7,1.2,1.9
1/1/90,0,0,0,0,0,0,0,0,1,2,1.8,2.4,1.8,2.6,1.6,2.6,1,6.7,5.1,8.3,5,8.5,4.8,8.7,1,1.6,1.6,2,1.6,2.2,1.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/91,1,5.6,5.6,7.3,5.4,7.7,5.2,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.1,1.3,0.9,1.5,0.9,1.5,1,2.8,2.1,2.8,1.9,2.8,1.9,3,1,6.2,4.7,6.5,4.5,6.9,4.3,7.1,0,0,0,0,0,0,0,0
1/1/92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.8,5.6,6.6,5.6,7.2,5.3,7.2,2,55.1,49.2,59.8,47.4,61.9,46.4,63.1,0,0,0,0,0,0,0,0,1,4.5,3.5,4.4,3.3,4.6,3.3,4.8
1/1/93,1,2.2,2.3,2.7,2.1,2.8,2.1,2.8,1,37.1,26.2,35.4,24.6,37,23.5,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4,1.8,2.5,1.8,2.7,1.6,2.8,1,9.8,9,10.4,8.9,10.8,8.7,11
1/1/94,0,0,0,0,0,0,0,0,1,1.7,1.7,2.4,1.5,2.6,1.5,2.8,0,0,0,0,0,0,0,0,1,1.7,1.5,1.7,1.5,1.9,1.4,1.9,1,1.7,1.5,2.1,1.4,2.1,1.4,2.1,1,1.2,1,1.5,1,1.7,0.9,1.7,2,7,6,7.5,5.9,7.7,5.7,7.7
